名称,工艺功能,位置,电源功能,设备编码
弱电桥架3配件,=TA001.EY01.TY01.RF.UN08,,,
弱电桥架3,=TA001.EY01.TY01.QJ3,,,
DP4-1 水泵软启柜 RQ1,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP4O.1,
5#水泵电机,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP9O.1.1.1,
管理房双电源切换照明配电箱（常） SMX1,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1,
1#进水电动闸门 ZM1,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.1,
室内半球,=TA001.TB01.VS01.AF11,++BF02.US07.,,CCTV0103
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N3,
高压配电室照明1,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N4,
2#变温控电源,,,===DY2.AH12.H02.ZB2.D1DP12.2,
控制间插座,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N2,
0.4KV出线,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP5O,
W通用管件,=TA001.ST01.TT01.UN.UN01,,,
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.7,
门厅电话、网络系统,=TA001.TB01.TN01.BF01.US01,,,
控制室电话、网络系统,=TA001.TB01.TN01.BF01.US05,,,
J通用管件,=TA001.ST01.TS01.UN.UN10,,,
声光报警器,=TA001.TB01.FA01.BF02.SG01,++BF02.,,AVA0101
感应式台式洗脸盆,=TA001.ST01.TS01.LP02,++BF01.US02.,,
高压配电室,,++BF01.US06,,BF01US06
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N9,
壁灯: BMX1-N4,=TA001.EY01.TE04.BF02.EA24,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N4.,WL0102
泵站3~5轴双电源切换照明配电箱 BMX1,=TA001.EY01.TE03.,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.,SDB0101
吸顶式报警扬声器,=TA001.TB01.FA01.BF01.US09.PJ01,++BF01.US09.,,
0.4KV系统,=TA001.EY01.TE02,,,
门厅插座,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N9,
火灾声报警器: 标准,=TA001.TB01.FA01.ALRM.SF17,,,
雨水泵_GK5-1,=TA001.BJ01.PP01.GP05,++BF02.US01.,===DY2.AH12.H02.ZB2.D1DP12.3.DP9O.1.1.1.,CP0105
J通用管件,=TA001.ST01.TS01.UN.UN03,,,
安全照明灯: MX1-N5,=TA001.EY01.TE04.BG01.EA14,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG04.,SSL0202
应急疏散指示灯 - 壁挂式: SMX1-N6,=TA001.EY01.TE04.BF01.US09.SG01,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N6.,EEL0101
手动报警按钮: 标准,=TA001.TB01.FA01.ALRM.SF05,,,MFAB0105
W变径管件,=TA001.ST01.TT01.UN.UN20,,,
管形母线桥架2配件,=TA001.EY01.TY01.UF.UN06,,,
XBDZ-3.6（风机）: K4-2,=TA001.TL01.BF01.GQ02,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F2.SF01.,AF0102
J通用管件,=TA001.ST01.TS01.UN.UN30,,,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N7,
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ01,++BF01.US01.,,ISD0107
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N5,
火灾光报警器: 标准,=TA001.TB01.FA01.ALRM.SF11,,,AVA0104
10KV出线1,,,===DY1.AH1.H01,
照明灯具: SMX1-N5,=TA001.EY01.TE04.BF01.US06.EA03,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N5.BG01.,SSL0403
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ04,,,ISD0101
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N6,
休息室1电话、网络系统,=TA001.TB01.TN01.BF01.US02,,,
J三通管件,=TA001.ST01.TS01.UN.UN31,,,
带云台的摄像机: 标准,=TA001.TB01.VS01.SEVI009,,,CCTV0304
标准计量柜1~2: 标准计量柜1~2,=TA001.EY01.TE03.,++BF01.US05.,,MC0102
W三通管件,=TA001.ST01.TT01.UN.UN16,,,
移动加日光感应探头,=TA001.EY01.TE04.,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG03,MDS0107
10KV总开关柜,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.,HSC0201
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N5,
